screen_name,Kategorie
SteffenWurzel,Journalist
MPKretschmer,Politiker
faznet,Medien
thoralf_cleven,Journalist
SZ_Geld,Medien
SPIEGEL_alles,Medien
zeitonline_kul,Medien
Ch_Schubert,Healthcare
sportschau,Medien
ClausHecking,Journalist
StefanieBolzen,Journalist
DavidGutensohn,Journalist
IbraNaber,Journalist
ZDFheute,Medien
WDRinvestigativ,Medien
FAZ_Eil,Medien
CDUBremen,Partei
Team_Luftwaffe,Andere
klauslederer,Politiker
rlpNews,Medien
BR_Wissen,Medien
MLingenfelser,Journalist
BMISprecher,Behörde
galoki,Journalist
BrauseChristina,Journalist
CarstenDierig,Journalist
morgenmagazin,Medien
bayern2,Medien
CREATIVEBERLIN,Andere
kbv4u,Healthcare
meyerar,Journalist
WirtschaftNRW,Behörde
dw_politik,Medien
StadtOsnabrueck,Andere
BBK_Bund,Behörde
DLFNachrichten,Medien
WELT_EIL,Medien
FOCUS_TopNews,Medien
BildungslandNRW,Behörde
BMAS_Bund,Behörde
MDR_SN,Medien
NdsLandesReg,Behörde
BR_Oberbayern,Medien
TspCheckpoint,Medien
bzga_de,Behörde
WKZBerlin,Behörde
derInnensenator,Behörde
SPIEGEL_Kultur,Medien
philippvetter,Journalist
rki_de,Behörde
BundeswehrGI,Behörde
sternde,Medien
derspiegel,Medien
RegSprecher,Behörde
BoeckingD,Journalist
SPIEGEL_EIL,Medien
CDU,Partei
Soziales_ST,Behörde
tagesschau,Medien
danieldrepper,Journalist
flor8i,Journalist
ZDFnrw,Medien
JosefinHer,Journalist
SWR2,Medien
JuliusBetschka,Journalist
DasErste,Medien
rbbinforadio,Medien
bewegungsteam,Medien
focusfinanzen,Medien
rbbabendschau,Medien
SZ_Reise,Medien
ardmoma,Medien
SenIAS_Berlin,Behörde
Zi_Berlin,Healthcare
mijoste,Journalist
SWRAktuellRP,Medien
elltra,Journalist
markuspreiss,Journalist
ARD_Presse,Medien
IntegrationBund,Behörde
RegBerlin,Behörde
RegierungBW,Behörde
stern_reise,Medien
focusgesundheit,Medien
BMFSFJ,Behörde
ARDKontraste,Medien
CurdWunderlich,Journalist
SPIEGEL_Wissen,Medien
hbergprotokoll,Healthcare
SPIEGEL_Politik,Medien
oliverreporter,Journalist
BMBF_Bund,Behörde
SozialesTH,Behörde
AchWendler,Journalist
GermanyintheEU,Behörde
de_deutschland,Andere
heuteshow,Medien
HendrikKrumbein,Andere
IHKMagdeburg,Behörde
WDRaktuell,Medien
MAGS_NRW,Behörde
hoshiyama,Journalist
ZDFhannover,Medien
SPIEGEL_Top,Medien
URoeller,Journalist
CDUFraktionHB,Partei
ChSchweppe,Journalist
LailaHeyne,Journalist
c_drosten,Healthcare
ARDRoma,Medien
PatrickGensing,Journalist
FAZ_Wissen,Medien
PR_ibb,Andere
BR_Recherche,Medien
FAZ_Finance,Medien
Tim_Roehn,Journalist
Doppelgeist60,Journalist
rbb24,Medien
tagesthemen,Medien
SWRsport,Medien
jensspahn,Politiker
SWRAktuellBW,Medien
RaiSuedtirol,Medien
Vivantes,Healthcare
EU_Commission,Andere
Stk_Brandenburg,Andere
kakape,Journalist
HeikoMaas,Politiker
KuestnerK,Journalist
StM_Klose,Politiker
