word,Anzahl
deutschland,Wirtschaft
menschen,Soziales
krise,Politik
krise,Wirtschaft
zahl,Gesundheit
pandemie,Gesundheit
ma�nahmen,Gesundheit
f�lle,Gesundheit
kampf,Gesundheit
ausbreitung,Gesundheit
infektionen,Gesundheit
rki,Gesundheit
robert,Gesundheit
koch,Gesundheit
infizierten,Gesundheit
institut,Gesundheit
italien,Wirtschaft
china,Wirtschaft
regierung,Wirtschaft
infiziert,Gesundheit
berlin,Wirtschaft
berlin,Politik
entwicklungen,Gesundheit
folgen,Gesundheit
land,Politik
quarant�ne,Gesundheit
wirtschaft,Wirtschaft
infizierte,Gesundheit
usa,Politik
l�nder,Wirtschaft
pr�sident,Politik
getestet,Gesundheit
schulen,Bildung
infektion,Gesundheit
informationen,Politik
informationen,Bildung
zahlen,Gesundheit
ziel,Gesundheit
trump,Politik
lage,Gesundheit
patienten,Gesundheit
ausbruch,Gesundheit
todesf�lle,Gesundheit
leben,Gesundheit
neuinfektionen,Gesundheit
epidemie,Gesundheit
europa,Wirtschaft
weltweit,Wirtschaft
aktuelle,Gesundheit
tote,Gesundheit
reduzieren,Soziales
reduzieren,Gesundheit
auswirkungen,Gesundheit
positiv,Gesundheit
unternehmen,Wirtschaft
abgesagt,Sport
betroffen,Gesundheit
merkel,Politik
helfen,Gesundheit
deutlich,Gesundheit
bayern,Politik
baden,Politik
bundesregierung,Politik
millionen,Wirtschaft
millionen,Gesundheit
angst,Soziales
prozent,Gesundheit
voll,Gesundheit
eind�mmung,Soziales
euro,Wirtschaft
ansteckungszahlen,Gesundheit
geschlossen,Wirtschaft
best�tigte,Gesundheit
welt,Politik
tests,Gesundheit
johns,Gesundheit
hopkins,Gesundheit
w�rttemberg,Politik
aktuell,Gesundheit
gestorben,Gesundheit
warnt,Gesundheit
nrw,Politik
update,Gesundheit
lockerungen,Gesundheit
lockerungen,Soziales
stadt,Wirtschaft
impfstoff,Gesundheit
ministerpr�sident,Politik
kinder,Bildung
polizei,Wirtschaft
infos,Politik
gestiegen,Gesundheit
�ffnen,Wirtschaft
sch�tzen,Gesundheit
gesundheitsminister,Politik
gesundheitsminister,Gesundheit
neuartigen,Gesundheit
who,Politik
sars,Gesundheit
cov,Gesundheit
bund,Politik
einschr�nkungen,Soziales
schutz,Soziales
schutz,Gesundheit
gemeldeten,Gesundheit
donald,Politik
kanzlerin,Politik
new,Politik
mitarbeiter,Wirtschaft
meldet,Gesundheit
