Account_Name;Real_Name;Kategorie
KaiDiekmann;Kai Diekmann;Journalist
steffendobbert;Steffen Dobbert;Journalist
tagesschau;Tagesschau;Presseagentur
jensspahn;Jens Spahn;Politiker
CDU;CDU;Partei
HeikoMaas;Heiko Maas;Politiker
heutejournal;Heute Journal;Presseagentur
vonderleyen;Ursula von der Leyen;Politiker
realDonaldTrump;Donald Trump;Politiker
Bundesliga_DE;Bundesliga;Presseagentur
SkySportDE;Sky Sport;Presseagentur
FAZ_Sport;FAZ ;Presseagentur
SPORT1;Sport 1;Presseagentur
ransport;Ran Sport;Presseagentur
sportschau;Sportschau;Presseagentur
kicker_bl_li;Kicker Bundesliga;Presseagentur
Fussball_Bild;Fußball Bild;Presseagentur
ZDFsport;ZDF Sport;Presseagentur
DAZN_DE;DAZN;Presseagentur
kicker_2bl_li;Kicker 2. Bundesliga;Presseagentur
11Freunde_de;11FREUNDE;Presseagentur
Sportkultur;Klaas Reese;Journalist
FrankBuschmann;Frank Buschmann;Journalist
fums_magazin;FUMS Magazin;Presseagentur
MDRAktuell;MDR;Presseagentur
SZ_sport;SZ Sport;Presseagentur
dirk_adam;Dirk Adam;Journalist
Eurosport_DE;Eurosport;Presseagentur
ZDFsportstudio;ZDF Sportstudio;Presseagentur
Peter_Ahrens;Peter Ahrens;Journalist
SPORT1_Dopa;SPORT1-Doppelpass;Presseagentur
BILD_Sport;BILD Sport;Presseagentur
cfbayern;Christian Falk;Journalist
Transfermarkt;Transfermarkt;Presseagentur
SPORTBILD;SPORTBILD;Presseagentur
fifacom_de;FIFA;Presseagentur
SkySportNewsHD;Sky Sport News;Presseagentur
NDRsport;NDR Sport;Presseagentur
RegSprecher;Steffen Seibert;Politiker
isabelschayani;Isabel Schayani;Journalist
georgrestle;Georg Restle;Journalist
Weltspiegel_ARD;Weltspiegel;Presseagentur
spiegelonline;Spieggel Online;Presseagentur
sz;Süddeutsche Zeitung;Presseagentur
zeitonline;ZEIT online;Presseagentur
dpa;Deutsche Presseagentur;Presseagentur
TinaHassel;Tina Hassel;Journalist
Augstein;Jakob Augstein;Journalist
MelAmann;Melanie Amann;Journalist
ClausKleber;Claus Kleber;Journalist
NikolausBlome;Nikolaus Blome;Journalist
thodenk;Thorsten Denkler;Journalist
ThomasWalde;ThomasWalde;Journalist
lisacaspari;Lisa Caspari;Journalist
MariamLau1;Mariam Lau;Journalist
HugoMuellerVogg;Hugo Müller-Vogg;Journalist
StefanLeifert;Stefan Leifert;Journalist
RobertRossmann;Robert Roßmann;Journalist
jreichelt;Julian Reichelt;Journalist
nifberlin;Nico Fried;Journalist
GordonRepinski;Gordon Repinski;Journalist
berndulrich;Bernd Ulrich;Journalist
ErhardScherfer;Erhard scherfer;Journalist
robinalexander_;Robin Alexander;Journalist
ulfposh;Ulf Poschardt;Journalist
MatthiasMeisner;Matthias Meisner;Journalist
FlorianGathmann;Florian Gathmann;Journalist
dunjahayali;Dunja Hayali;Journalist
maybritillner;Maybrit Illner;Presseagentur
Markus_Soeder;Markus Söder;Politiker
c_lindner;Christian Lindner;Politiker
HoffmannSpiegel;Christiane Hoffmann;Journalist
maischberger;Maischberger;Presseagentur
AnneWillTalk;ANNE WILL Talkshow;Presseagentur
RangaYogeshwar;Ranga Yogeshwar;Journalist
ArminLaschet;Armin Laschet;Politiker
OlafScholz;Olaf Scholz;Politiker
quarkswdr;Quarks;Presseagentur
rbb24;rbb|24;Presseagentur
cem_oezdemir;Cem Özdemir;Politiker
RegBerlin;Der Regierende Bürgermeister von Berlin;Politiker
peteraltmaier;Peter Altmaier;Politiker
MpStephanWeil;Stephan Weil;Politiker
rlpNews;Landesregierung Rheinland-Pfalz;Politiker
tobiashans;Tobias Hans;Politiker
MPKretschmer;Michael Kretschmer;Politiker
reinerhaseloff;Reiner Haseloff;Politiker
UlrichSchneider;Ulrich Schneider ;Politiker
bodoramelow;Bodo Ramelow;Politiker
vorsamer;Barbara Vorsamer;Journalist
Karl_Lauterbach;Karl Lauterbach;Politiker
RathausHB_news;Bremen Senat Presse;Politiker
Senat_Hamburg;Hamburger Senat;Politiker
hubertus_heil;Hubertus Heil;Politiker
TschenPe;Peter Tschentscher;Politiker
RegierungBW;Landesregierung BW;Politiker
SWRAktuellEil;SWR Aktuell Eil;Presseagentur
Tagesspiegel;Tagesspiegel;Presseagentur
c_jung77;Christian Jung;Politiker
spdbt;SPD-Fraktion im Bundestag;Politiker
Linksfraktion;DIE LINKE. im Bundestag;Politiker
Junge_Union;JU Deutschlands;Politiker
fdp;FDP;Politiker
csu_bt;CSU im Bundestag;Politiker
CSU;CSU;Politiker
GrueneBundestag;Grüne im Bundestag;Politiker
Die_Gruenen;BÜNDNIS90/DIE GRÜNE;Politiker
welt;WELT;Presseagentur
WDRaktuell;WDR aktuell;Presseagentur
faznet;FAZ ;Presseagentur
ZDFheute;ZDF heute;Presseagentur
dieLinke;Die Linke;Politiker
ARD_BaB;Bericht aus Berlin;Presseagentur
HollsteinM;Miriam Hollstein;Journalist
janboehm;Jan Böhmermann;Journalist
janfleischhauer;Jan Fleischhauer;Journalist
