Account_Name;Real_Name;Anzahl_Follower_(11.05.2020);Was
SkySportNewsHD;Sky Sport News HD;687.214;Sport Medien
SPORTBILD;SPORT BILD;394.666;Sport Medien
Transfermarkt;Transfermarkt;109.892;Sport Medien
BILD_Sport;BILD Sport;315.465;Sport Medien
SPORT1_Dopa;SPORT1-Doppelpass;78.893;Sport Medien
ZDFsportstudio;AktuellesSportstudio;351.148;Sport Medien
Eurosport_DE;Eurosport DE;38.344;Sport Medien
SZ_sport;SZ Sport;160.834;Sport Medien
fums_magazin;FUMS;64.267;Sport Medien
11Freunde_de;11FREUNDE_de;262.847;Sport Medien
kicker_2bl_li;kicker | 2. Bundesliga;39.888;Sport Medien
DAZN_DE;DAZN DE;73.168;Sport Medien
ZDFsport;ZDF Sport;610.852;Sport Medien
Fussball_Bild;Bild FUSSBALL;142.396;Sport Medien
kicker_bl_li;kicker | Bundesliga;202.374;Sport Medien
sportschau;Sportschau;618.375;Sport Medien
ransport;ran;156.078;Sport Medien
SPORT1;SPORT1;588.597;Sport Medien
FAZ_Sport;FAZ Sport;67.593;Sport Medien
SkySportDE;Sky Sport;394.303;Sport Medien
